Reference Number,Stimulus,Exam,Question Pool,Tags,Option 1,Option 2,Option 3,Option 4,Correct Answer,ImageFileName,TagsToSyllabus,Section,Topic,Tag
2025-Full682,The purpose of a buffer amplifier stage is often to,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3B_1,provide ample PD to drive the power amplifier stage,isolate the oscillator stage from subsequent stages,supply the major part of amplification of the modulated signal,protect the driver stage from over modulation,B,,3B1,Transmitters and receivers,Transmitter architecture,ATR_1
2025-Full8029,The oscillator in an HF transmitter is based on an LC tuned circuit and is specified as having a maximum drift of 0.1%. An important effect of this is that a CW signal in the 10MHz amateur band,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_1,above 10.13MHz may be out of band.,above 10.12MHz may contravene the band plan.,below 10.11MHz may be out of band.,the chirp on the signal could become unreadable.,C,,3C1,Transmitters and receivers,Oscillators,ATR_2
2025-Full3410,A transmitter being used on 432.2MHz SSB is known to have a very small frequency error but a high temperature dependent drift of approximately 2ppm per degree C. A temperature rise of 10 degrees C is not unusual. The most significant effect of this is likely to be,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_1,a modest distortion of the audio in the distant receiver,unintentional radiation outside the amateur 70cm band,a need to constantly adjust the RIT at the distant receiver,interference to other amateurs on adjacent frequencies,D,,3C1,Transmitters and receivers,Oscillators,ATR_2
2025-Full3987,Which situation is likely to result in drift in the first 5 to 10 minutes after starting operation?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_1,Running the oscillator on a separate lower voltage power supply,Inadequate biasing of the frequency multiplier stages,Winding the oscillator coils on a ceramic former,Placing the master oscillator close to the power amplifier stage,D,,3C1,Transmitters and receivers,Oscillators,ATR_2
2025-Full7897,What is the most likely effect of a transmitter on 145.000MHz suffering from severe drift of the order of 200ppm?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_1,Transmitting outside the amateur band.,Some audible distortion in the intended receiver.,Interfering with frequencies used by other contacts.,Increased noise level over most of the amateur band.,C,,3C1,Transmitters and receivers,Oscillators,ATR_2
2025-Full3606,In the block diagram of a frequency synthesiser the arrowed box contains,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_3,a variable frequency oscillator,a phase comparator,a voltage stabiliser,an amplifier,B,2025-Full3606.svg,3C3,Transmitters and receivers,Oscillators,ATR_3
2025-Full7743,What function is performed in the box marked X?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_3,Fourier transformation.,Anti-alias filtering.,Sine wave lookup table.,Digitally controlled oscillator.,C,2025-Full7743.png,3C3,Transmitters and receivers,Oscillators,ATR_3
2025-Full3349,"When a sinusoidal output is produced from a direct digital synthesiser (DDS), the number of bits the synthesiser can generate will affect the",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_3,voltage available from the synthesiser,stability of the synthesised signal,purity of the output signal,rise time of the amplifier,C,,3C3,Transmitters and receivers,Oscillators,ATR_3
2025-Full3406,The size of the frequency steps in a phase locked loop frequency synthesiser is set by the,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_3,frequency into the phase comparator,division ratio of the vfo output,frequency of the variable oscillator,cut-off frequency of the low pass filter,A,,3C3,Transmitters and receivers,Oscillators,ATR_3
2025-Full354,"If a sine wave is produced by direct digital synthesis, the purity of the output is determined mainly by the",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_3,output impedance of the synthesiser,phase changes within the synthesiser,the bit resolution of the synthesiser,stability of the power supply to the synthesiser,C,,3C3,Transmitters and receivers,Oscillators,ATR_3
2025-Full3791,"When a sine wave is produced from a direct digital synthesiser, the number of bits the synthesiser can generate will affect the",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3C_3,the voltage available from the synthesiser.,rise time of the amplifier.,purity of the output signal.,the stability of the synthesised signal.,C,,3C3,Transmitters and receivers,Oscillators,ATR_3
2025-Full365,Why do frequency multiplier stages usually operate in Class C?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3D_1,To provide a stable frequency,To produce harmonics,To prevent positive feedback,To produce the greatest output,B,,3D1,Transmitters and receivers,Frequency multipliers,ATR_4
2025-Full368,A single-channel transmitter intended for operation on 70.26MHz uses a crystal oscillator on 5855kHz. The final frequency is most likely to be produced by,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3D_1,a frequency synthesiser and mixer system,a frequency multiplier system,a variable frequency oscillator,direct digital synthesis,B,,3D1,Transmitters and receivers,Frequency multipliers,ATR_4
2025-Full374,The function of the multiplier stage in a transmitter is to,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3D_1,multiply the output power,enable the transmitter to be operated on a harmonic of the oscillator frequency,buffer the oscillator,reduce radiation of multiples of the oscillator frequency,B,,3D1,Transmitters and receivers,Frequency multipliers,ATR_4
2025-Full688,It is proposed to generate a microwave signal by feeding the output of a UHF transmitter to a frequency multiplier circuit. This arrangement is suitable for use with,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3D_1,single sideband modulation with suppressed carrier,frequency modulation,single sideband modulation with a pilot (reduced) carrier,amplitude modulation,B,,3D1,Transmitters and receivers,Frequency multipliers,ATR_4
2025-Full738,A modulated UHF signal is available to feed a 10GHz microwave transmitter. The transmitted frequency is 10.38GHz. A suitable multiplier frequency for the UHF source is,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3D_1,432.5MHz,437.5MHz,430MHz,435MHz,A,,3D1,Transmitters and receivers,Frequency multipliers,ATR_4
2025-Full384,Which of the following modulation types is often generated by varying the voltage applied to a varicap in an RF oscillator?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_1,Frequency modulation (FM),Single sideband (SSB),Amplitude modulation (AM),Morse (CW),A,,3E1,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full391,Increasing the deviation level of a frequency modulated transmitter,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_1,improves the speech quality,widens the RF bandwidth,increases the speech compression ratio,overcomes FM noise,B,,3E1,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full393,A single sideband transmitter is operating on lower sideband on 1.960MHz and is modulated with a pure 3000Hz tone. The RF output frequency will be,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_1,1.957MHz,3000Hz,1.960MHz,1.963MHz,A,,3E1,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full683,"In an amateur radio transceiver, the depth of modulation for radio telephone transmissions can be varied by use of the",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_1,microphone gain control,carrier level control,RF attenuator,IF shift control,A,,3E1,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full686,A 1MHz carrier is frequency modulated by a 1kHz audio signal amplitude 100mV and causing a peak deviation of 2.5kHz. The occupied bandwidth of the transmission is approximately,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_1,2kHz,3.5kHz,7kHz,5kHz,C,,3E1,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full716,An FM broadcast transmitter uses a peak deviation of 75kHz and a maximum audio frequency of 15kHz. The bandwidth of the transmission is approximately,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_1,180kHz,150kHz,30kHz,75kHz,A,,3E1,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full7745,The circuit shown is likely to be found,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_2,in an oscillator output.,in a frequency synthesiser.,after a balanced modulator.,between two AF amplifier stages.,C,2025-Full7745.png,3E2,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full7746,A transmitter is set to 7.150MHz LSB. The balanced modulator has a 6.000MHz carrier and its output will subsequently be mixed up to the transmit frequency by a synthesiser on 13.150MHz. The sideband filter should be set to pass,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_2,13.147 to 13.150MHz,7.150 to 7.153MHz,5.997 to 6.000MHz,6.000 to 6.003MHz,D,,3E2,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full7775,A superhet receiver is tuned to an upper sideband signal on 144.500MHz. The local oscillator is running at 140.500MHz. The sideband filter to admit the signal should be set to,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_2,4.000 to 4.003MHz,3.997 to 4.000MHz,144.500 to 144.503MHz,144.497 to 144.500MHz,A,,3E2,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full7778,A superhet receiver is tuned to a lower sideband signal on 144.500 MHz. The local oscillator is running at 148.500 MHz. The sideband filter to admit the signal should be set to,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_2,144.497 to 144.500 MHz,144.500 to 144.503 MHz,3.997 to 4.000 MHz,4.000 to 4.003 MHz,D,,3E2,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full7779,"In the circuit shown the crystals are set to 9.0 MHz, the capacitors to 39pF and the overall Q factor is 3330. What is the most likely function of the circuit?",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_2,Sideband filter.,Harmonic filter.,Phase noise filter.,PLL feedback filter.,A,2025-Full7779.png,3E2,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full7780,A crystal filter 2.7kHz wide is used to select the wanted sideband in the IF of a superhet receiver. Rather than set up another filter for the other sideband an alternative option is to offset the local oscillator by,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3E_2,2.7 kHz.,3.0 kHz.,3.3 kHz.,600 Hz.,C,,3E2,Transmitters and receivers,Microphone amplifiers and modulators,ATR_4
2025-Full398,You are intending to add an SSB transmit amplifier to your Station. The amplifier should be,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_2,linear in order to ensure low distortion and low harmonic content,linear in order to ensure efficient power consumption,class A in order to accept the full output of your current transmitter,class C in order to ensure efficient power consumption,A,,3F2,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full399,An RF power amplifier operates class C. It is suitable for,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_2,FM and CW,FM only,AM and SSB,"FM, CW and SSB",A,,3F2,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full717,A good SSB transmitter is feeding a power amplifier that is rather non-linear but does have a good low pass filter on its output. The most significant effect of the non-linearity will be,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_2,a noticeable impairment in the received audio quality,a broad transmission causing adjacent band interference,significant signals on harmonics of the RF signal,a complete shut-down of the transmitter PA,B,,3F2,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full7785,A non-linear amplifier fed with two sinusoidal input signals will produce,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_2,only intermodulation products of the input signals.,only harmonics of the input signals.,both harmonics and intermodulation products of the input signals.,harmonics and sub-harmonics of the input signals.,C,,3F2,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full7787,An SSB RF amplifier is being driven by two RF signals at 14.101 MHz and 14.102 MHz when it is noticed that there is also an output on 14.103 MHz. What action is most likely to clean up the signal?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_2,Fit a small attenuator on the input to the RF amplifier.,Fit a small attenuator on the output of the RF amplifier.,Fit a 14 MHz amateur bandpass filter on the input to the RF amplifier.,Fit a 14 MHz amateur bandpass filter on the output of the RF amplifier.,A,,3F2,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full7788,The drawing shows the spectrum of the input and output of an external RF power amplifier being fed from an SSB transmitter. The most likely explanation for the change in the spectrum is that,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_2,standing waves on the feeder are causing multiple reflections.,intermodulation products are being generated in the power amplifier.,the lower power in the base transmitter is masking its intermodulation products.,the power amplifier is not correctly matched to the output of the transmitter.,B,2025-Full7788.png,3F2,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full402,A pi-network in the output stage of a transceiver,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_3,stabilises the output power,helps to suppress harmonics,eliminates second channel interference,prevents audio feedback,B,,3F3,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full403,In a transmitter PA stage a pi-network is used for impedance matching. It also can act as a,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_3,low pass filter,notch filter,high pass filter,band pass filter,A,,3F3,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full405,"The output circuits of an RF power amplifier normally fulfil two functions, filtering and",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_3,current limiting,SWR reduction,impedance matching,frequency stabilisation,C,,3F3,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full408,Which mode of transmission will result in the greatest average power requirement from the final amplifier? Assume the PEP is the same in all cases.,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_4,Single sideband,Morse code,Frequency modulation,Slow scan SSB TV,C,,3F4,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full409,The effect on the RF power amplifier of switching on speech processing in an SSB transmitter will be,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_4,reduced heat dissipation,a decrease in average transmitted power,negligible,an increase in average power,D,,3F4,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full410,A transmitter is normally used on SSB and runs comfortably warm even when peaking at 100W output. It is decided to use the same transmitter on RTTY (radio teletype) and the input level is set so the RF output peaks at the same level as previously used on voice. It is likely that the transmitter will run,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_4,at much the same temperature as before,considerably hotter than before,slightly hotter than before,a bit cooler than before,B,,3F4,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full411,A class AB transmitter has been in use for some time and the speech processor is then switched on and set to maximum compression. The peak transmit power is seen to be unaffected. It is LIKELY that the transmitter will run,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_4,considerably hotter than before,a bit cooler than before,slightly hotter than before,at much the same temperature as before,A,,3F4,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full412,Using a speech processor in an SSB transmitter will,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_4,increase the peak transmitted signal,reduce the harmonic content of the transmitted signal,increase the average signal strength,reduce the harmonic content of the audio signal,C,,3F4,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full3280,A transceiver is fitted with an automatic level control (ALC). This will,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_5,ensure AM or SSB modulation does not exceed 100%,shut down the transmitter in the event of a poor SWR,minimise the overdriving of the power amplifier,keep received audio signals at a relatively constant level,C,,3F5,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full413,The purpose of Automatic Level Control (ALC) in a transmitter is to,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_5,adjust the automatic ATU settings,control the transmit and receive function when using data modes,limit the output power,increase the received signals as they fade,C,,3F5,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full415,"An external RF power amplifier (PA) has 3 leads marked '240V AC', 'RF in' and 'ALC'. The ALC lead",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_5,sends a signal to the transceiver limiting the transmit power level,expects a signal from the transceiver to set the transmit power level,sets the power amplifier to 'transmit' when the microphone is keyed,sets an automatic antenna matching unit to the correct band in use,A,,3F5,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full697,A transceiver is fitted with an automatic level control (ALC). This will,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3F_5,ensure AM or SSB modulation does not exceed 100%,minimise the overdriving of the power amplifier,keep received audio signals at a relatively constant level,shut down the transmitter in the event of a poor SWR,B,,3F5,Transmitters and receivers,RF power amplifiers,ATR_5
2025-Full3411,Over modulation of an RF carrier is likely to result in,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_1,"a stronger signal in which, on HF, is easier to understand",small shifts in the transmitted frequency requiring the use of the RIT at the distant receiver,harmonics of the audio signal causing splatter and interference to amateurs on adjacent frequencies,harmonics of the RF signal causing splatter and interference to amateurs on adjacent frequencies,C,,3G1,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full4081,"When the spectrum of an HF AM transmitter is observed over a narrow range, it is noticed that as the modulation depth is changed there is a point beyond which several harmonics of the audio signal appear. At that point the depth of modulation will be",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_1,close to 100%,no more than 80%,very low,about 50%,A,,3G1,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full474,Over modulation of an SSB transmitter results in excessive RF bandwidth because the greater amplitude of the AF signal causes,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_1,harmonics of the transmitted signal,greater amplitude of the RF signal,excessive deviation,harmonics in the modulator,D,,3G1,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full475,Even though your microphone amplifier has good audio frequency bandwidth filtering you find that your transmissions occupy excessive RF bandwidth. A likely cause is,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_1,harmonic radiation,1.8kHz sideband filter selected,over modulation,excessive RF output power,C,,3G1,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full476,Over modulation may be caused by excessive,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_1,radio frequency amplitude from the master oscillator,radio frequency bandwidth from the power amplifier,audio frequency bandwidth from the microphone amplifier,audio frequency amplitude from the microphone amplifier,D,,3G1,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full3990,A cause of intermodulation products in a separate RF power amplifier (PA) is,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_2,poor frequency stability in the transceiver which is driving it,failing to use a common earth point for the transceiver and PA,running the PA and driving transceiver from separate power supplies,more RF drive from the transceiver than is required for full output,D,,3G2,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full485,Overdriving an external power amplifier with a transmitter is likely to,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_2,cause over deviation,cause over modulation,generate passive inter-modulation products,generate spurious inter-modulation products,D,,3G2,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full486,An operator should not overdrive an external power amplifier with a transmitter in order to avoid,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_2,inter-modulation products.,a high SWR.,loss of modulation on FM.,exceeding the power permitted in the licence.,A,,3G2,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full489,You should not overdrive an external power amplifier so as to avoid,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_2,passive inter-modulation products,over modulation,over deviation,spurious inter-modulation products,D,,3G2,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full7789,The drawing shows the spectrum of the input and output of an external RF power amplifier. It is most likely that the,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_2,driving transmitter has harmonic distortion.,transmitter's band pass filter is faulty.,power amplifier is being over-driven.,power amplifier input signal is frequency modulated.,C,2025-Full7789.png,3G2,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full7790,An amateur is receiving complaints that his transmissions are causing interference to other stations immediately above and below his transmitted frequency. The amateur should check that,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_2,there are no excessive standing waves on the feeder.,the signal level from the desk microphone is not too low.,the mode of transmission is in accordance with the band plan.,the drive level to the power amplifier is set correctly.,D,,3G2,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full430,Harmonics in a transmitter would NOT be reduced by using,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_3,inductive coupling between stages,a Class C amplifier,low drive levels,push-pull amplifiers,B,,3G3,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full432,Which of the following is most likely to cause harmonics?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_3,connecting the transmitter to a dummy load,an unscreened power supply unit,a tuned half-wave antenna,an overdriven PA stage,D,,3G3,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full465,The response of a transmitter's low pass filter should fall sharply above the cut off frequency to attenuate the transmission of,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_3,local oscillator outputs lower than the transmitter frequency,any spurious emissions other than the final frequency,unwanted mixer products close to the transmitter frequency,harmonics of the transmitter frequency,D,,3G3,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full466,A low-pass filter fitted at the output of a transmitter will,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_3,avoid the need for a mains filter,reduce the transmission of harmonics,minimise the risk of thermal runaway,prevent frequency instability,B,,3G3,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full467,A transmitter for the 160 metre band is found to radiate on other amateur bands. What action could be taken to prevent this?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_3,Fit a low-pass filter at the output,Increase the output power,Thread ferrite beads on the microphone leads,Stabilise the power supply,A,,3G3,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full4080,An FET HF RF power amplifier occasionally suffers from parasitic oscillation at a frequency much higher than the designed operating frequency. Which of the four options is most likely to be successful?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_4,A low value resistor in series with a capacitor of around 10nF from the drain of the FET to the 0V line.,A capacitor from the drain of the FET to the 0V line of a value around half of that of the capacitors used in the resonant circuits.,A low value capacitor in series with the FET gate mounted as close to the gate as possible.,An inductor with a reactance of about 50 ohms from the drain of the FET to the 0V line.,A,,3G4,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full469,Stray coupling in a Power Amplifier may be the cause of,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_4,unwanted self oscillation,unwanted mixer products,losses in the dielectric,drift,A,,3G4,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full470,Unwanted parasitic oscillations may occur as a result of,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_4,normal operation of an oscillator,normal operation of a power amplifier,stray coupling in a power amplifier,harmonics from an oscillator,C,,3G4,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full472,"The lead to the base of the power amplifier transistor in an RF PA is connected via a low value resistor with a few turns of wire, wound round the resistor and in parallel with it. The purpose of this circuit is to",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_4,prevent parasitic oscillations,limit the production of harmonics,correctly match the input impedance of the transistor,avoid the transistor being over driven,A,,3G4,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full473,Parasitic oscillations in a transistor amplifier may often be cured by,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_4,increasing the input drive level,increasing the capacitance in the collector load,fitting a low value resistor in series with the base,fitting a disc ceramic capacitor of about 100pF between base and collector,C,,3G4,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full3412,A phase locked loop synthesiser in a transmitter has an output to indicate that the control loop is phase locked. If this indication is absent it is necessary to,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_5,recalibrate the master oscillator,reduce the level of modulation,temporarily inhibit transmission,"alert the operator, eg., a front panel LED",C,,3G5,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full3617,If a phase lock loop frequency synthesiser indicates an 'out of lock' condition the signals into the phase comparator,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_5,will both be varying in frequency,are of different frequencies,are of different phases,are of identical frequency and phase,B,,3G5,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full4082,It is noticed that a home made frequency synthesiser can briefly produce an output signal of unstable frequency when quickly tuning from from one end of an amateur band to the other. The probable reason is that,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_5,the two signals into the phase comparator are of different frequencies,RF feedback is getting in to the system,the reference oscillator is out of lock,the two signals into the phase comparator happen to be on the same frequency,A,,3G5,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full479,With which part of the circuit of a transceiver is the term 'out of lock' associated?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_5,Frequency synthesiser,Carrier insertion oscillator,Audio limiter,RF preamplifier,A,,3G5,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full480,The term 'Out of lock' is a type of malfunction associated with a,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_5,digital voltmeter,frequency synthesiser,power amplifier,heterodyne wave-meter,B,,3G5,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full482,"If a frequency synthesiser is 'out of lock', its output should be",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3G_5,unmodulated,regulated,increased,inhibited,D,,3G5,Transmitters and receivers,Transmitter interference,ATR_6
2025-Full495,"In a receiver, the difference between the maximum signal that can be received without overload and the minimum signal that can be discerned is the",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3H_3,signal to noise ratio,dynamic range,selectivity,sensitivity,B,,3H3,Transmitters and receivers,Receiver concepts,ATR_7
2025-Full496,The dynamic range of a receiver is expressed in,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3H_3,ohms per volt,decibels,hertz,microvolts,B,,3H3,Transmitters and receivers,Receiver concepts,ATR_7
2025-Full497,A receiver can just audibly detect signals of 0.4µV (Negative (-)145dBW) at its input. The receiver overloads at an input of 10mV (Negative (-)57dBW) causing intermodulation products that can be heard as false signals. The dynamic range of the receiver is,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3H_3,202 dB,145 dB,57 dB,88 dB,D,,3H3,Transmitters and receivers,Receiver concepts,ATR_7
2025-Full508,A strong signal into the front end of a radio receiver exceeds its dynamic range. An effect of this will be,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3H_3,distortion of received signals on FM,a change in the noise figure of the receiver,the AGC increasing the gain in the IF amplifier stages,spurious signals generated within the receiver,D,,3H3,Transmitters and receivers,Receiver concepts,ATR_7
2025-Full509,Spurious signals in a receiver could be caused by,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3H_3,signals from a distant pirate broadcast transmitter,signals separated from the wanted signal by an amount equal to the IF,signals on a harmonic of the frequency displayed on the receiver,a strong signal overloading the receiver front end,D,,3H3,Transmitters and receivers,Receiver concepts,ATR_7
2025-Full7791,The dynamic range of a radio receiver is usually expressed in which units?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3H_3,dB,dBi,dBc,dBc/Hz,A,,3H3,Transmitters and receivers,Receiver concepts,ATR_7
2025-Full3621,The IF stage has been omitted from the block diagram of a superhet receiver. At what point should it be inserted?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3I_1,Point 3,Point 2,Point 4,Point 1,B,2025-Full3621.svg,3I1,Transmitters and receivers,Superheterodyne concepts,ATR_7
2025-Full3623,The block diagram shows a superhet receiver. G represents an audio amplifier. What is block F?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3I_1,A sideband filter,A demodulator,A carrier insertion oscillator,A phase recovery circuit,C,2025-Full3623.svg,3I1,Transmitters and receivers,Superheterodyne concepts,ATR_7
2025-Full3816,What is the main purpose of having two intermediate frequencies in a double superhet receiver?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3I_1,Two IFs provide greater amplification than a single IF,"The first IF provides image rejection, whilst the second IF provides adjacent channel selectivity",Both IFs provide image and adjacent channel rejection,"The first IF helps provide adjacent channel selectivity, whilst the second IF provides image rejection",B,,3I1,Transmitters and receivers,Superheterodyne concepts,ATR_7
